2023-07-23 07:35:58 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 07:36:03 INFO     Using device: cuda
2023-07-23 07:36:03 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 07:36:03 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 07:36:03 INFO     [dprr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 07:36:03 INFO     [dprr: gat on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 07:43:15 INFO     [dprr: gat on citeseer with eps=7] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.4092296600341796
2023-07-23 07:43:15 INFO     [dprr: gat on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 07:43:15 INFO     [dprr: gat on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 07:49:49 INFO     [dprr: gat on citeseer with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.2082428932189941
2023-07-23 07:49:49 INFO     [dprr: gat on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 07:49:49 INFO     [dprr: gat on citeseer] Grid search done.
2023-07-23 07:49:49 INFO     Grid search done!
2023-07-23 07:49:49 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 07:49:49 INFO     [dprr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 07:49:49 INFO     [dprr: gat on citeseer with eps=7] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 07:51:02 INFO     [dprr: gat on citeseer with eps=7] Test accuracy is 0.4915865384615384 (0.02135908954897064).
2023-07-23 07:51:02 INFO     [dprr: gat on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 07:51:02 INFO     [dprr: gat on citeseer with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 07:52:18 INFO     [dprr: gat on citeseer with eps=8] Test accuracy is 0.591386217948718 (0.012029175906887781).
2023-07-23 07:52:18 INFO     [dprr: gat on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 07:52:18 INFO     [dprr: gat on citeseer] Experiments done.
2023-07-23 07:52:18 INFO     All baseline experiments done!
