2023-07-23 10:42:08 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 10:42:13 INFO     Using device: cuda
2023-07-23 10:42:13 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 10:42:13 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 10:42:13 INFO     [symrr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 10:42:13 INFO     [symrr: gat on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 10:47:59 INFO     [symrr: gat on citeseer with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1851312875747682
2023-07-23 10:47:59 INFO     [symrr: gat on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 10:47:59 INFO     [symrr: gat on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 10:53:50 INFO     [symrr: gat on citeseer with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9625423192977905
2023-07-23 10:53:50 INFO     [symrr: gat on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 10:53:50 INFO     [symrr: gat on citeseer] Grid search done.
2023-07-23 10:53:50 INFO     Grid search done!
2023-07-23 10:53:50 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 10:53:50 INFO     [symrr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 10:53:50 INFO     [symrr: gat on citeseer with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 10:54:56 INFO     [symrr: gat on citeseer with eps=7] Test accuracy is 0.5977163461538463 (0.02612010499685719).
2023-07-23 10:54:56 INFO     [symrr: gat on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 10:54:56 INFO     [symrr: gat on citeseer with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 10:56:00 INFO     [symrr: gat on citeseer with eps=8] Test accuracy is 0.6850560897435897 (0.016428675951264914).
2023-07-23 10:56:00 INFO     [symrr: gat on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 10:56:00 INFO     [symrr: gat on citeseer] Experiments done.
2023-07-23 10:56:00 INFO     All baseline experiments done!
