2022-10-17 11:39:04 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', grid_search=True)
2022-10-17 11:39:11 INFO     Grid search. Load hyperparameter space from config.json
2022-10-17 11:39:11 INFO     [rr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2022-10-17 11:39:11 INFO     [rr: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2022-10-17 11:45:12 INFO     [rr: gcn on citeseer with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7417676448822021
2022-10-17 11:45:12 INFO     [rr: gcn on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-17 11:45:12 INFO     [rr: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2022-10-17 11:48:35 INFO     [rr: gcn on citeseer with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7425412734349568
2022-10-17 11:48:35 INFO     [rr: gcn on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-17 11:48:35 INFO     [rr: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2022-10-17 11:50:55 INFO     [rr: gcn on citeseer with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7410039107004802
2022-10-17 11:50:55 INFO     [rr: gcn on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-17 11:50:55 INFO     [rr: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2022-10-17 11:53:06 INFO     [rr: gcn on citeseer with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7403618494669597
2022-10-17 11:53:06 INFO     [rr: gcn on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-17 11:53:06 INFO     [rr: gcn on citeseer with eps=5] Start grid search for hyperparameter tuning.
2022-10-17 11:55:16 INFO     [rr: gcn on citeseer with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6950313647588093
2022-10-17 11:55:16 INFO     [rr: gcn on citeseer with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-17 11:55:16 INFO     [rr: gcn on citeseer with eps=6] Start grid search for hyperparameter tuning.
2022-10-17 11:57:22 INFO     [rr: gcn on citeseer with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.3794491291046143
2022-10-17 11:57:22 INFO     [rr: gcn on citeseer with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-17 11:57:22 INFO     [rr: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2022-10-17 11:59:28 INFO     [rr: gcn on citeseer with eps=7] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1460832754770915
2022-10-17 11:59:28 INFO     [rr: gcn on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2022-10-17 11:59:28 INFO     [rr: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
2022-10-17 12:01:35 INFO     [rr: gcn on citeseer with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9503384033838908
2022-10-17 12:01:35 INFO     [rr: gcn on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2022-10-17 12:01:35 INFO     [rr: gcn on citeseer] Grid search done.
2022-10-17 12:01:35 INFO     [ldpgcn: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
