2023-07-23 08:35:02 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 08:35:07 INFO     Using device: cuda
2023-07-23 08:35:07 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 08:35:07 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 08:35:07 INFO     [dprr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 08:35:07 INFO     [dprr: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 08:39:50 INFO     [dprr: gcn on citeseer with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7387932777404784
2023-07-23 08:39:50 INFO     [dprr: gcn on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 08:39:50 INFO     [dprr: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 08:44:28 INFO     [dprr: gcn on citeseer with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7314642667770386
2023-07-23 08:44:28 INFO     [dprr: gcn on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 08:44:28 INFO     [dprr: gcn on citeseer] Grid search done.
2023-07-23 08:44:28 INFO     Grid search done!
2023-07-23 08:44:28 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 08:44:28 INFO     [dprr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 08:44:28 INFO     [dprr: gcn on citeseer with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 08:45:22 INFO     [dprr: gcn on citeseer with eps=1] Test accuracy is 0.20572916666666669 (0.01152043251814623).
2023-07-23 08:45:22 INFO     [dprr: gcn on citeseer with eps=1] Saving training results to output/bl_results.json
2023-07-23 08:45:22 INFO     [dprr: gcn on citeseer with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 08:46:12 INFO     [dprr: gcn on citeseer with eps=2] Test accuracy is 0.21678685897435898 (0.010908109521099116).
2023-07-23 08:46:12 INFO     [dprr: gcn on citeseer with eps=2] Saving training results to output/bl_results.json
2023-07-23 08:46:12 INFO     [dprr: gcn on citeseer] Experiments done.
2023-07-23 08:46:12 INFO     All baseline experiments done!
