2023-07-23 09:42:38 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 09:42:39 INFO     Using device: cuda
2023-07-23 09:42:39 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 09:42:39 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 09:42:39 INFO     [symrr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 09:42:39 INFO     [symrr: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 09:45:41 INFO     [symrr: gcn on citeseer with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0} with validation loss 1.7109042167663575
2023-07-23 09:45:41 INFO     [symrr: gcn on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 09:45:41 INFO     [symrr: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 09:48:30 INFO     [symrr: gcn on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 1.5542908668518067
2023-07-23 09:48:30 INFO     [symrr: gcn on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 09:48:30 INFO     [symrr: gcn on citeseer] Grid search done.
2023-07-23 09:48:30 INFO     Grid search done!
2023-07-23 09:48:30 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 09:48:30 INFO     [symrr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 09:48:30 INFO     [symrr: gcn on citeseer with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0}.
2023-07-23 09:49:05 INFO     [symrr: gcn on citeseer with eps=3] Test accuracy is 0.2346554487179487 (0.028217787669262234).
2023-07-23 09:49:05 INFO     [symrr: gcn on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 09:49:05 INFO     [symrr: gcn on citeseer with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 09:49:38 INFO     [symrr: gcn on citeseer with eps=4] Test accuracy is 0.3586137820512821 (0.06008131494149776).
2023-07-23 09:49:38 INFO     [symrr: gcn on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 09:49:39 INFO     [symrr: gcn on citeseer] Experiments done.
2023-07-23 09:49:39 INFO     All baseline experiments done!
