2023-07-23 07:16:04 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 07:16:10 INFO     Using device: cuda
2023-07-23 07:16:10 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 07:16:10 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 07:16:10 INFO     [ldpgen: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 07:16:10 INFO     [ldpgen: graphsage on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 07:20:42 INFO     [ldpgen: graphsage on citeseer with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.901056969165802
2023-07-23 07:20:42 INFO     [ldpgen: graphsage on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 07:20:42 INFO     [ldpgen: graphsage on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 07:25:13 INFO     [ldpgen: graphsage on citeseer with eps=8] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.896301531791687
2023-07-23 07:25:13 INFO     [ldpgen: graphsage on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 07:25:13 INFO     [ldpgen: graphsage on citeseer] Grid search done.
2023-07-23 07:25:13 INFO     Grid search done!
2023-07-23 07:25:13 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 07:25:13 INFO     [ldpgen: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 07:25:13 INFO     [ldpgen: graphsage on citeseer with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 07:26:04 INFO     [ldpgen: graphsage on citeseer with eps=7] Test accuracy is 0.730488782051282 (0.007026768469158843).
2023-07-23 07:26:04 INFO     [ldpgen: graphsage on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 07:26:04 INFO     [ldpgen: graphsage on citeseer with eps=8] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 07:26:54 INFO     [ldpgen: graphsage on citeseer with eps=8] Test accuracy is 0.7290064102564101 (0.008325625133243931).
2023-07-23 07:26:54 INFO     [ldpgen: graphsage on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 07:26:54 INFO     [ldpgen: graphsage on citeseer] Experiments done.
2023-07-23 07:26:54 INFO     All baseline experiments done!
