2023-01-25 15:33:33 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-25 15:33:39 INFO     Using device: cuda
2023-01-25 15:33:39 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-25 15:33:39 INFO     Grid search. Load hyperparameter space from config.json
2023-01-25 15:33:39 INFO     [solitude: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-01-25 15:33:39 INFO     [solitude: gat on cora with eps=1] Start grid search for hyperparameter tuning.
2023-01-25 16:16:13 INFO     [solitude: gat on cora with eps=1] Best hparam is: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 1e-05, 'lam2': 0.0001} with validation loss 1.8084931373596191
2023-01-25 16:16:13 INFO     [solitude: gat on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-01-25 16:16:13 INFO     [solitude: gat on cora with eps=2] Start grid search for hyperparameter tuning.
2023-01-25 16:59:36 INFO     [solitude: gat on cora with eps=2] Best hparam is: {'do': 0.01, 'lr_theta': 0.1, 'lr_adj': 0.1, 'wd': 0.001, 'lam1': 0.01, 'lam2': 1e-05} with validation loss 1.8104572296142578
2023-01-25 16:59:36 INFO     [solitude: gat on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-01-25 16:59:36 INFO     [solitude: gat on cora with eps=3] Start grid search for hyperparameter tuning.
2023-01-25 17:42:06 INFO     [solitude: gat on cora with eps=3] Best hparam is: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 0.01, 'lam2': 0.0001} with validation loss 1.8095731735229492
2023-01-25 17:42:06 INFO     [solitude: gat on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-01-25 17:42:06 INFO     [solitude: gat on cora with eps=4] Start grid search for hyperparameter tuning.
2023-01-25 18:24:03 INFO     [solitude: gat on cora with eps=4] Best hparam is: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 0.001, 'lam2': 0.01} with validation loss 1.8033454418182373
2023-01-25 18:24:03 INFO     [solitude: gat on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-01-25 18:24:03 INFO     [solitude: gat on cora with eps=5] Start grid search for hyperparameter tuning.
2023-01-25 19:06:00 INFO     [solitude: gat on cora with eps=5] Best hparam is: {'do': 0.01, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.01} with validation loss 1.581960916519165
2023-01-25 19:06:00 INFO     [solitude: gat on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-01-25 19:06:00 INFO     [solitude: gat on cora with eps=6] Start grid search for hyperparameter tuning.
2023-01-25 19:48:06 INFO     [solitude: gat on cora with eps=6] Best hparam is: {'do': 0.01, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.01} with validation loss 1.245893120765686
2023-01-25 19:48:06 INFO     [solitude: gat on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-01-25 19:48:06 INFO     [solitude: gat on cora with eps=7] Start grid search for hyperparameter tuning.
2023-01-25 20:31:14 INFO     [solitude: gat on cora with eps=7] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01} with validation loss 1.149631381034851
2023-01-25 20:31:14 INFO     [solitude: gat on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-01-25 20:31:14 INFO     [solitude: gat on cora with eps=8] Start grid search for hyperparameter tuning.
2023-01-25 21:14:17 INFO     [solitude: gat on cora with eps=8] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.4759944677352905
2023-01-25 21:14:17 INFO     [solitude: gat on cora with eps=8] Saving best hp to output/bl_best_hp.json
2023-01-25 21:14:17 INFO     [solitude: gat on cora] Grid search done.
2023-01-25 21:14:17 INFO     Grid search done!
2023-01-25 21:14:17 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-01-25 21:14:17 INFO     [solitude: gat on cora] Start running experiments on various epsilons.
2023-01-25 21:14:17 INFO     [solitude: gat on cora with eps=1] Run with best hp found: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 1e-05, 'lam2': 0.0001}.
2023-01-25 21:15:18 INFO     [solitude: gat on cora with eps=1] Test accuracy is 0.34121122599704584 (5.551115123125783e-17).
2023-01-25 21:15:18 INFO     [solitude: gat on cora with eps=1] Saving training results to output/bl_results.json
