2023-07-23 11:18:08 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 11:18:10 INFO     Using device: cuda
2023-07-23 11:18:11 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 11:18:11 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:18:11 INFO     [ldpgen: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:18:11 INFO     [ldpgen: gat on cora with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 11:26:11 INFO     [ldpgen: gat on cora with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.7173676252365113
2023-07-23 11:26:11 INFO     [ldpgen: gat on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 11:26:11 INFO     [ldpgen: gat on cora with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 11:34:15 INFO     [ldpgen: gat on cora with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.001} with validation loss 1.722020721435547
2023-07-23 11:34:15 INFO     [ldpgen: gat on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 11:34:15 INFO     [ldpgen: gat on cora] Grid search done.
2023-07-23 11:34:15 INFO     Grid search done!
2023-07-23 11:34:15 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 11:34:15 INFO     [ldpgen: gat on cora] Start running experiments on various epsilons.
2023-07-23 11:34:15 INFO     [ldpgen: gat on cora with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 11:35:46 INFO     [ldpgen: gat on cora with eps=3] Test accuracy is 0.35302806499261447 (0.013073282173660019).
2023-07-23 11:35:46 INFO     [ldpgen: gat on cora with eps=3] Saving training results to output/bl_results.json
2023-07-23 11:35:46 INFO     [ldpgen: gat on cora with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 11:37:17 INFO     [ldpgen: gat on cora with eps=4] Test accuracy is 0.3505169867060562 (0.01116590983332104).
2023-07-23 11:37:17 INFO     [ldpgen: gat on cora with eps=4] Saving training results to output/bl_results.json
2023-07-23 11:37:17 INFO     [ldpgen: gat on cora] Experiments done.
2023-07-23 11:37:17 INFO     All baseline experiments done!
