2023-01-24 12:04:26 INFO     Start experiments with Namespace(dataset='cora', model='gcn', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-24 12:04:31 INFO     Using device: cuda
2023-01-24 12:04:31 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-24 12:04:31 INFO     Grid search. Load hyperparameter space from config.json
2023-01-24 12:04:31 INFO     [solitude: gcn on cora] Grid search for hyperparameter tuning on various epsilons.
2023-01-24 12:04:31 INFO     [solitude: gcn on cora with eps=1] Start grid search for hyperparameter tuning.
2023-01-24 12:38:58 INFO     [solitude: gcn on cora with eps=1] Best hparam is: {'do': 0.1, 'lr_theta': 0.01, 'lr_adj': 0.1, 'wd': 0.001, 'lam1': 0.01, 'lam2': 0.001} with validation loss 1.788135290145874
2023-01-24 12:38:58 INFO     [solitude: gcn on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-01-24 12:38:58 INFO     [solitude: gcn on cora with eps=2] Start grid search for hyperparameter tuning.
2023-01-24 13:12:57 INFO     [solitude: gcn on cora with eps=2] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.1, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 1e-05} with validation loss 1.808262825012207
2023-01-24 13:12:57 INFO     [solitude: gcn on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-01-24 13:12:57 INFO     [solitude: gcn on cora with eps=3] Start grid search for hyperparameter tuning.
2023-01-24 13:45:39 INFO     [solitude: gcn on cora with eps=3] Best hparam is: {'do': 0.1, 'lr_theta': 0.1, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 0.001, 'lam2': 0.01} with validation loss 1.8028737306594849
2023-01-24 13:45:39 INFO     [solitude: gcn on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-01-24 13:45:39 INFO     [solitude: gcn on cora with eps=4] Start grid search for hyperparameter tuning.
2023-01-24 14:18:40 INFO     [solitude: gcn on cora with eps=4] Best hparam is: {'do': 0.1, 'lr_theta': 0.1, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.001, 'lam2': 0.0001} with validation loss 1.7604697942733765
2023-01-24 14:18:40 INFO     [solitude: gcn on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-01-24 14:18:40 INFO     [solitude: gcn on cora with eps=5] Start grid search for hyperparameter tuning.
2023-01-24 14:52:04 INFO     [solitude: gcn on cora with eps=5] Best hparam is: {'do': 0.1, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.001} with validation loss 1.510183572769165
2023-01-24 14:52:04 INFO     [solitude: gcn on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-01-24 14:52:04 INFO     [solitude: gcn on cora with eps=6] Start grid search for hyperparameter tuning.
2023-01-24 15:25:20 INFO     [solitude: gcn on cora with eps=6] Best hparam is: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.001, 'lam2': 0.01} with validation loss 1.022925853729248
2023-01-24 15:25:20 INFO     [solitude: gcn on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-01-24 15:25:20 INFO     [solitude: gcn on cora with eps=7] Start grid search for hyperparameter tuning.
2023-01-24 15:57:52 INFO     [solitude: gcn on cora with eps=7] Best hparam is: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.01} with validation loss 0.7041619420051575
2023-01-24 15:57:52 INFO     [solitude: gcn on cora with eps=7] Saving best hp to output/bl_best_hp.json
