2023-07-23 13:14:38 INFO     Start experiments with Namespace(dataset='cora', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 13:14:53 INFO     Using device: cuda
2023-07-23 13:14:53 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 13:14:53 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:14:53 INFO     [dprr: gcn on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:14:53 INFO     [dprr: gcn on cora with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 13:20:40 INFO     [dprr: gcn on cora with eps=5] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.6112726211547852
2023-07-23 13:20:40 INFO     [dprr: gcn on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 13:20:40 INFO     [dprr: gcn on cora with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 13:26:48 INFO     [dprr: gcn on cora with eps=6] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.4169148921966552
2023-07-23 13:26:48 INFO     [dprr: gcn on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 13:26:48 INFO     [dprr: gcn on cora] Grid search done.
2023-07-23 13:26:48 INFO     Grid search done!
2023-07-23 13:26:48 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:26:48 INFO     [dprr: gcn on cora] Start running experiments on various epsilons.
2023-07-23 13:26:48 INFO     [dprr: gcn on cora with eps=5] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 13:27:54 INFO     [dprr: gcn on cora with eps=5] Test accuracy is 0.379123584441162 (0.015318906140919792).
2023-07-23 13:27:54 INFO     [dprr: gcn on cora with eps=5] Saving training results to output/bl_results.json
2023-07-23 13:27:54 INFO     [dprr: gcn on cora with eps=6] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 13:29:03 INFO     [dprr: gcn on cora with eps=6] Test accuracy is 0.47582471688823236 (0.014456187940230085).
2023-07-23 13:29:03 INFO     [dprr: gcn on cora with eps=6] Saving training results to output/bl_results.json
2023-07-23 13:29:03 INFO     [dprr: gcn on cora] Experiments done.
2023-07-23 13:29:03 INFO     All baseline experiments done!
