2022-10-17 14:58:37 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', grid_search=True)
2022-10-17 14:58:43 INFO     Grid search. Load hyperparameter space from config.json
2022-10-17 14:58:43 INFO     [ldpgcn: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2022-10-17 14:58:43 INFO     [ldpgcn: graphsage on cora with eps=1] Start grid search for hyperparameter tuning.
2022-10-17 15:00:29 INFO     [ldpgcn: graphsage on cora with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8248051404953003
2022-10-17 15:00:29 INFO     [ldpgcn: graphsage on cora with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-17 15:00:29 INFO     [ldpgcn: graphsage on cora with eps=2] Start grid search for hyperparameter tuning.
2022-10-17 15:02:14 INFO     [ldpgcn: graphsage on cora with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8337669968605042
2022-10-17 15:02:14 INFO     [ldpgcn: graphsage on cora with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-17 15:02:14 INFO     [ldpgcn: graphsage on cora with eps=3] Start grid search for hyperparameter tuning.
2022-10-17 15:03:58 INFO     [ldpgcn: graphsage on cora with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8199153542518616
2022-10-17 15:03:58 INFO     [ldpgcn: graphsage on cora with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-17 15:03:58 INFO     [ldpgcn: graphsage on cora with eps=4] Start grid search for hyperparameter tuning.
2022-10-17 15:05:43 INFO     [ldpgcn: graphsage on cora with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.7119225263595581
2022-10-17 15:05:43 INFO     [ldpgcn: graphsage on cora with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-17 15:05:43 INFO     [ldpgcn: graphsage on cora with eps=5] Start grid search for hyperparameter tuning.
2022-10-17 15:07:27 INFO     [ldpgcn: graphsage on cora with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.5849101940790812
2022-10-17 15:07:27 INFO     [ldpgcn: graphsage on cora with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-17 15:07:27 INFO     [ldpgcn: graphsage on cora with eps=6] Start grid search for hyperparameter tuning.
2022-10-17 15:09:11 INFO     [ldpgcn: graphsage on cora with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.4855434795220693
2022-10-17 15:09:11 INFO     [ldpgcn: graphsage on cora with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-17 15:09:11 INFO     [ldpgcn: graphsage on cora with eps=7] Start grid search for hyperparameter tuning.
2022-10-17 15:10:56 INFO     [ldpgcn: graphsage on cora with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.4597712258497874
