2023-07-23 13:05:29 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 13:05:34 INFO     Using device: cuda
2023-07-23 13:05:34 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 13:05:34 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:05:34 INFO     [dprr: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:05:34 INFO     [dprr: graphsage on cora with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 13:09:10 INFO     [dprr: graphsage on cora with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8184630274772644
2023-07-23 13:09:10 INFO     [dprr: graphsage on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 13:09:10 INFO     [dprr: graphsage on cora with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 13:12:27 INFO     [dprr: graphsage on cora with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8248038411140441
2023-07-23 13:12:27 INFO     [dprr: graphsage on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 13:12:27 INFO     [dprr: graphsage on cora] Grid search done.
2023-07-23 13:12:27 INFO     Grid search done!
2023-07-23 13:12:27 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:12:27 INFO     [dprr: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 13:12:27 INFO     [dprr: graphsage on cora with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 13:13:11 INFO     [dprr: graphsage on cora with eps=1] Test accuracy is 0.7030034465780407 (0.007315605357502015).
2023-07-23 13:13:11 INFO     [dprr: graphsage on cora with eps=1] Saving training results to output/bl_results.json
2023-07-23 13:13:11 INFO     [dprr: graphsage on cora with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 13:13:50 INFO     [dprr: graphsage on cora with eps=2] Test accuracy is 0.7006893156080749 (0.008040692288249758).
2023-07-23 13:13:50 INFO     [dprr: graphsage on cora with eps=2] Saving training results to output/bl_results.json
2023-07-23 13:13:50 INFO     [dprr: graphsage on cora] Experiments done.
2023-07-23 13:13:50 INFO     All baseline experiments done!
