2023-07-23 16:10:24 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 16:10:29 INFO     Using device: cuda
2023-07-23 16:10:29 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 16:10:29 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 16:10:29 INFO     [symrr: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 16:10:29 INFO     [symrr: graphsage on cora with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 17:52:39 INFO     [symrr: graphsage on cora with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8050244808197021
2023-07-23 17:52:39 INFO     [symrr: graphsage on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 17:52:39 INFO     [symrr: graphsage on cora with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 18:31:07 INFO     [symrr: graphsage on cora with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8059005856513977
2023-07-23 18:31:07 INFO     [symrr: graphsage on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 18:31:07 INFO     [symrr: graphsage on cora] Grid search done.
2023-07-23 18:31:07 INFO     Grid search done!
2023-07-23 18:31:07 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 18:31:07 INFO     [symrr: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 18:31:07 INFO     [symrr: graphsage on cora with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 18:50:18 INFO     [symrr: graphsage on cora with eps=1] Test accuracy is 0.711373707533235 (0.00447378303952756).
2023-07-23 18:50:18 INFO     [symrr: graphsage on cora with eps=1] Saving training results to output/bl_results.json
2023-07-23 18:50:18 INFO     [symrr: graphsage on cora with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 18:57:34 INFO     [symrr: graphsage on cora with eps=2] Test accuracy is 0.7083702609551945 (0.005614078174085736).
2023-07-23 18:57:34 INFO     [symrr: graphsage on cora with eps=2] Saving training results to output/bl_results.json
2023-07-23 18:57:34 INFO     [symrr: graphsage on cora] Experiments done.
2023-07-23 18:57:34 INFO     All baseline experiments done!
