2023-07-23 07:27:35 INFO     Start experiments with Namespace(dataset='facebook', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 07:28:15 INFO     Using device: cuda
2023-07-23 07:28:15 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 07:28:15 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 07:28:15 INFO     [dprr: gat on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 07:28:15 INFO     [dprr: gat on facebook with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 07:48:38 INFO     [dprr: gat on facebook with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0} with validation loss 1.1975069761276245
2023-07-23 07:48:38 INFO     [dprr: gat on facebook with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 07:48:38 INFO     [dprr: gat on facebook with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 08:07:56 INFO     [dprr: gat on facebook with eps=4] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.1897514581680297
2023-07-23 08:07:56 INFO     [dprr: gat on facebook with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 08:07:56 INFO     [dprr: gat on facebook] Grid search done.
2023-07-23 08:07:56 INFO     Grid search done!
2023-07-23 08:07:56 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 08:07:56 INFO     [dprr: gat on facebook] Start running experiments on various epsilons.
2023-07-23 08:07:56 INFO     [dprr: gat on facebook with eps=3] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0}.
2023-07-23 08:11:44 INFO     [dprr: gat on facebook with eps=3] Test accuracy is 0.46056129108816896 (0.032332879690978485).
2023-07-23 08:11:44 INFO     [dprr: gat on facebook with eps=3] Saving training results to output/bl_results.json
2023-07-23 08:11:44 INFO     [dprr: gat on facebook with eps=4] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 08:15:22 INFO     [dprr: gat on facebook with eps=4] Test accuracy is 0.4439124243503026 (0.06251172384045948).
2023-07-23 08:15:22 INFO     [dprr: gat on facebook with eps=4] Saving training results to output/bl_results.json
2023-07-23 08:15:22 INFO     [dprr: gat on facebook] Experiments done.
2023-07-23 08:15:22 INFO     All baseline experiments done!
