2023-04-17 01:01:45 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['rr', 'ldpgcn', 'solitude'], grid_search=True, eps=None)
2023-04-17 01:06:59 INFO     Using device: cuda
2023-04-17 01:06:59 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-04-17 01:06:59 INFO     Grid search. Load hyperparameter space from fb_config.json
2023-04-17 01:06:59 INFO     [rr: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-04-17 01:06:59 INFO     [rr: gcn on facebook with eps=1] Start grid search for hyperparameter tuning.
2023-04-17 01:13:34 INFO     [rr: gcn on facebook with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.3541958332061768
2023-04-17 01:13:34 INFO     [rr: gcn on facebook with eps=1] Saving best hp to output/bl_best_hp.json
2023-04-17 01:13:34 INFO     [rr: gcn on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-04-17 01:16:29 INFO     [rr: gcn on facebook with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.354017734527588
2023-04-17 01:16:29 INFO     [rr: gcn on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-04-17 01:16:29 INFO     [rr: gcn on facebook with eps=3] Start grid search for hyperparameter tuning.
2023-04-17 01:17:54 INFO     [rr: gcn on facebook with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.3514713048934937
2023-04-17 01:17:54 INFO     [rr: gcn on facebook with eps=3] Saving best hp to output/bl_best_hp.json
2023-04-17 01:17:54 INFO     [rr: gcn on facebook with eps=4] Start grid search for hyperparameter tuning.
2023-04-17 01:18:43 INFO     [rr: gcn on facebook with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.341460943222046
2023-04-17 01:18:43 INFO     [rr: gcn on facebook with eps=4] Saving best hp to output/bl_best_hp.json
2023-04-17 01:18:43 INFO     [rr: gcn on facebook with eps=5] Start grid search for hyperparameter tuning.
2023-04-17 01:19:17 INFO     [rr: gcn on facebook with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.309696078300476
2023-04-17 01:19:17 INFO     [rr: gcn on facebook with eps=5] Saving best hp to output/bl_best_hp.json
2023-04-17 01:19:17 INFO     [rr: gcn on facebook with eps=6] Start grid search for hyperparameter tuning.
2023-04-17 01:19:46 INFO     [rr: gcn on facebook with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.0942332744598389
2023-04-17 01:19:46 INFO     [rr: gcn on facebook with eps=6] Saving best hp to output/bl_best_hp.json
2023-04-17 01:19:46 INFO     [rr: gcn on facebook with eps=7] Start grid search for hyperparameter tuning.
2023-04-17 01:20:13 INFO     [rr: gcn on facebook with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8663381338119507
2023-04-17 01:20:13 INFO     [rr: gcn on facebook with eps=7] Saving best hp to output/bl_best_hp.json
2023-04-17 01:20:13 INFO     [rr: gcn on facebook with eps=8] Start grid search for hyperparameter tuning.
2023-04-17 01:20:40 INFO     [rr: gcn on facebook with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6108149886131287
2023-04-17 01:20:40 INFO     [rr: gcn on facebook with eps=8] Saving best hp to output/bl_best_hp.json
2023-04-17 01:20:40 INFO     [rr: gcn on facebook] Grid search done.
2023-04-17 01:20:40 INFO     [ldpgcn: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-04-17 01:20:40 INFO     [ldpgcn: gcn on facebook with eps=1] Start grid search for hyperparameter tuning.
2023-04-17 01:21:17 INFO     [ldpgcn: gcn on facebook with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.127524495124817
2023-04-17 01:21:17 INFO     [ldpgcn: gcn on facebook with eps=1] Saving best hp to output/bl_best_hp.json
2023-04-17 01:21:17 INFO     [ldpgcn: gcn on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-04-17 01:21:53 INFO     [ldpgcn: gcn on facebook with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1171659231185913
2023-04-17 01:21:53 INFO     [ldpgcn: gcn on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-04-17 01:21:53 INFO     [ldpgcn: gcn on facebook with eps=3] Start grid search for hyperparameter tuning.
2023-04-17 01:22:30 INFO     [ldpgcn: gcn on facebook with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.055111050605774
2023-04-17 01:22:30 INFO     [ldpgcn: gcn on facebook with eps=3] Saving best hp to output/bl_best_hp.json
2023-04-17 01:22:30 INFO     [ldpgcn: gcn on facebook with eps=4] Start grid search for hyperparameter tuning.
2023-04-17 01:23:06 INFO     [ldpgcn: gcn on facebook with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8505712747573853
2023-04-17 01:23:06 INFO     [ldpgcn: gcn on facebook with eps=4] Saving best hp to output/bl_best_hp.json
2023-04-17 01:23:06 INFO     [ldpgcn: gcn on facebook with eps=5] Start grid search for hyperparameter tuning.
2023-04-17 01:23:43 INFO     [ldpgcn: gcn on facebook with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.5913408398628235
2023-04-17 01:23:43 INFO     [ldpgcn: gcn on facebook with eps=5] Saving best hp to output/bl_best_hp.json
2023-04-17 01:23:43 INFO     [ldpgcn: gcn on facebook with eps=6] Start grid search for hyperparameter tuning.
2023-04-17 01:24:20 INFO     [ldpgcn: gcn on facebook with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.4564932882785797
2023-04-17 01:24:20 INFO     [ldpgcn: gcn on facebook with eps=6] Saving best hp to output/bl_best_hp.json
2023-04-17 01:24:20 INFO     [ldpgcn: gcn on facebook with eps=7] Start grid search for hyperparameter tuning.
