2023-07-24 03:26:49 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[2])
2023-07-24 03:26:59 INFO     Using device: cuda
2023-07-24 03:26:59 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-24 03:26:59 INFO     Grid search. Load hyperparameter space from config.json
2023-07-24 03:26:59 INFO     [ldpgen: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-24 03:26:59 INFO     [ldpgen: gcn on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-07-24 04:08:52 INFO     [ldpgen: gcn on facebook with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0} with validation loss 1.3275998830795288
2023-07-24 04:08:52 INFO     [ldpgen: gcn on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-24 04:08:52 INFO     [ldpgen: gcn on facebook] Grid search done.
2023-07-24 04:08:52 INFO     Grid search done!
2023-07-24 04:08:52 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-24 04:08:52 INFO     [ldpgen: gcn on facebook] Start running experiments on various epsilons.
2023-07-24 04:08:52 INFO     [ldpgen: gcn on facebook with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0}.
2023-07-24 04:16:47 INFO     [ldpgen: gcn on facebook with eps=2] Test accuracy is 0.3467426130295479 (0.005899810500120452).
2023-07-24 04:16:47 INFO     [ldpgen: gcn on facebook with eps=2] Saving training results to output/bl_results.json
2023-07-24 04:16:47 INFO     [ldpgen: gcn on facebook] Experiments done.
2023-07-24 04:16:47 INFO     All baseline experiments done!
