2023-07-23 07:35:58 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 07:36:08 INFO     Using device: cuda
2023-07-23 07:36:08 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 07:36:08 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 07:36:08 INFO     [symrr: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 07:36:08 INFO     [symrr: gcn on facebook with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 08:28:32 INFO     [symrr: gcn on facebook with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.3511654376983642
2023-07-23 08:28:32 INFO     [symrr: gcn on facebook with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 08:28:32 INFO     [symrr: gcn on facebook with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 08:58:55 INFO     [symrr: gcn on facebook with eps=4] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.331664514541626
2023-07-23 08:58:55 INFO     [symrr: gcn on facebook with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 08:58:55 INFO     [symrr: gcn on facebook] Grid search done.
2023-07-23 08:58:55 INFO     Grid search done!
2023-07-23 08:58:55 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 08:58:55 INFO     [symrr: gcn on facebook] Start running experiments on various epsilons.
2023-07-23 08:58:55 INFO     [symrr: gcn on facebook with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 09:09:03 INFO     [symrr: gcn on facebook with eps=3] Test accuracy is 0.30995016019935917 (0.006357366114242757).
2023-07-23 09:09:03 INFO     [symrr: gcn on facebook with eps=3] Saving training results to output/bl_results.json
2023-07-23 09:09:03 INFO     [symrr: gcn on facebook with eps=4] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 09:14:51 INFO     [symrr: gcn on facebook with eps=4] Test accuracy is 0.357054705114513 (0.011427492676848314).
2023-07-23 09:14:51 INFO     [symrr: gcn on facebook with eps=4] Saving training results to output/bl_results.json
2023-07-23 09:14:51 INFO     [symrr: gcn on facebook] Experiments done.
2023-07-23 09:14:51 INFO     All baseline experiments done!
