2023-07-23 21:12:11 INFO     Start experiments with Namespace(dataset='facebook', model='gcn', method=['symrr'], grid_search=True, use_dense_model=True, eps=[1, 2])
2023-07-23 21:12:20 INFO     Using device: cuda
2023-07-23 21:12:20 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 21:12:20 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 21:12:20 INFO     [symrr: gcn on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 21:12:20 INFO     [symrr: gcn on facebook with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 22:10:31 INFO     [symrr: gcn on facebook with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.3541070699691773
2023-07-23 22:10:31 INFO     [symrr: gcn on facebook with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 22:10:31 INFO     [symrr: gcn on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 23:04:52 INFO     [symrr: gcn on facebook with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.3539056539535523
2023-07-23 23:04:52 INFO     [symrr: gcn on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 23:04:52 INFO     [symrr: gcn on facebook] Grid search done.
2023-07-23 23:04:52 INFO     Grid search done!
2023-07-23 23:04:52 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 23:04:52 INFO     [symrr: gcn on facebook] Start running experiments on various epsilons.
2023-07-23 23:04:52 INFO     [symrr: gcn on facebook with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 23:16:16 INFO     [symrr: gcn on facebook with eps=1] Test accuracy is 0.300996796012816 (5.551115123125783e-17).
2023-07-23 23:16:16 INFO     [symrr: gcn on facebook with eps=1] Saving training results to output/bl_results.json
2023-07-23 23:16:16 INFO     [symrr: gcn on facebook with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 23:27:00 INFO     [symrr: gcn on facebook with eps=2] Test accuracy is 0.300996796012816 (5.551115123125783e-17).
2023-07-23 23:27:00 INFO     [symrr: gcn on facebook with eps=2] Saving training results to output/bl_results.json
2023-07-23 23:27:00 INFO     [symrr: gcn on facebook] Experiments done.
2023-07-23 23:27:00 INFO     All baseline experiments done!
