2022-10-17 16:14:41 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', grid_search=True)
2022-10-17 16:14:57 INFO     Grid search. Load hyperparameter space from config.json
2022-10-17 16:14:57 INFO     [ldpgcn: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2022-10-17 16:14:57 INFO     [ldpgcn: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2022-10-17 16:18:39 INFO     [ldpgcn: gcn on lastfm with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.0843538840611777
2022-10-17 16:18:39 INFO     [ldpgcn: gcn on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-17 16:18:39 INFO     [ldpgcn: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2022-10-17 16:22:19 INFO     [ldpgcn: gcn on lastfm with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.0853891372680664
2022-10-17 16:22:19 INFO     [ldpgcn: gcn on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-17 16:22:19 INFO     [ldpgcn: gcn on lastfm with eps=3] Start grid search for hyperparameter tuning.
2022-10-17 16:25:58 INFO     [ldpgcn: gcn on lastfm with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.9203343788782756
2022-10-17 16:25:58 INFO     [ldpgcn: gcn on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-17 16:25:58 INFO     [ldpgcn: gcn on lastfm with eps=4] Start grid search for hyperparameter tuning.
2022-10-17 16:29:38 INFO     [ldpgcn: gcn on lastfm with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.4693146149317424
2022-10-17 16:29:38 INFO     [ldpgcn: gcn on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
