2022-10-19 10:51:04 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['rr'], grid_search=True)
2022-10-19 10:51:17 INFO     Grid search. Load hyperparameter space from config.json
2022-10-19 10:51:17 INFO     [rr: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2022-10-19 10:51:17 INFO     [rr: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2022-10-19 11:12:00 INFO     [rr: gcn on lastfm with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 2.3601925373077393
2022-10-19 11:12:00 INFO     [rr: gcn on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-19 11:12:00 INFO     [rr: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2022-10-19 11:22:26 INFO     [rr: gcn on lastfm with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 2.3598199685414634
2022-10-19 11:22:26 INFO     [rr: gcn on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-19 11:22:26 INFO     [rr: gcn on lastfm with eps=3] Start grid search for hyperparameter tuning.
2022-10-19 11:27:46 INFO     [rr: gcn on lastfm with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.3603803316752114
2022-10-19 11:27:46 INFO     [rr: gcn on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-19 11:27:46 INFO     [rr: gcn on lastfm with eps=4] Start grid search for hyperparameter tuning.
2022-10-19 11:31:10 INFO     [rr: gcn on lastfm with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.3591609795888266
2022-10-19 11:31:10 INFO     [rr: gcn on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-19 11:31:10 INFO     [rr: gcn on lastfm with eps=5] Start grid search for hyperparameter tuning.
2022-10-19 11:34:08 INFO     [rr: gcn on lastfm with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.353731711705526
2022-10-19 11:34:08 INFO     [rr: gcn on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-19 11:34:08 INFO     [rr: gcn on lastfm with eps=6] Start grid search for hyperparameter tuning.
2022-10-19 11:36:58 INFO     [rr: gcn on lastfm with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.122617721557617
2022-10-19 11:36:58 INFO     [rr: gcn on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-19 11:36:58 INFO     [rr: gcn on lastfm with eps=7] Start grid search for hyperparameter tuning.
2022-10-19 11:39:48 INFO     [rr: gcn on lastfm with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.50449538230896
2022-10-19 11:39:48 INFO     [rr: gcn on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2022-10-19 11:39:48 INFO     [rr: gcn on lastfm with eps=8] Start grid search for hyperparameter tuning.
2022-10-19 11:42:37 INFO     [rr: gcn on lastfm with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1244256496429443
2022-10-19 11:42:37 INFO     [rr: gcn on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2022-10-19 11:42:37 INFO     [rr: gcn on lastfm] Grid search done.
2022-10-19 11:42:37 INFO     Grid search done!
2022-10-19 11:42:37 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2022-10-19 11:42:37 INFO     [rr: gcn on lastfm] Start running experiments on various epsilons.
2022-10-19 11:42:37 INFO     [rr: gcn on lastfm with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2022-10-19 11:50:20 INFO     [rr: gcn on lastfm with eps=1] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2022-10-19 11:50:20 INFO     [rr: gcn on lastfm with eps=1] Saving training results to output/bl_results.json
2022-10-19 11:50:20 INFO     [rr: gcn on lastfm with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2022-10-19 11:54:11 INFO     [rr: gcn on lastfm with eps=2] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2022-10-19 11:54:11 INFO     [rr: gcn on lastfm with eps=2] Saving training results to output/bl_results.json
