2023-01-25 08:27:58 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-25 08:28:13 INFO     Using device: cuda
2023-01-25 08:28:13 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-25 08:28:13 INFO     Grid search. Load hyperparameter space from config.json
2023-01-25 08:28:13 INFO     [solitude: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-01-25 08:28:13 INFO     [solitude: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-01-25 10:27:32 INFO     [solitude: gcn on lastfm with eps=1] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 1e-05, 'lam2': 0.01} with validation loss 2.3590586185455322
2023-01-25 10:27:32 INFO     [solitude: gcn on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2023-01-25 10:27:32 INFO     [solitude: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-01-25 12:22:30 INFO     [solitude: gcn on lastfm with eps=2] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 0.001, 'lam2': 0.0001} with validation loss 2.358092784881592
2023-01-25 12:22:30 INFO     [solitude: gcn on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2023-01-25 12:22:30 INFO     [solitude: gcn on lastfm with eps=3] Start grid search for hyperparameter tuning.
2023-01-25 14:15:20 INFO     [solitude: gcn on lastfm with eps=3] Best hparam is: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.0001} with validation loss 2.3536391258239746
2023-01-25 14:15:20 INFO     [solitude: gcn on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2023-01-25 14:15:20 INFO     [solitude: gcn on lastfm with eps=4] Start grid search for hyperparameter tuning.
2023-01-25 16:07:15 INFO     [solitude: gcn on lastfm with eps=4] Best hparam is: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 2.3533101081848145
2023-01-25 16:07:15 INFO     [solitude: gcn on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2023-01-25 16:07:15 INFO     [solitude: gcn on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-01-25 17:58:37 INFO     [solitude: gcn on lastfm with eps=5] Best hparam is: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.001} with validation loss 2.321110963821411
2023-01-25 17:58:37 INFO     [solitude: gcn on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2023-01-25 17:58:37 INFO     [solitude: gcn on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-01-25 19:50:09 INFO     [solitude: gcn on lastfm with eps=6] Best hparam is: {'do': 0.1, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.0001} with validation loss 2.205564260482788
2023-01-25 19:50:09 INFO     [solitude: gcn on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2023-01-25 19:50:09 INFO     [solitude: gcn on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-01-25 21:41:34 INFO     [solitude: gcn on lastfm with eps=7] Best hparam is: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01} with validation loss 1.761642336845398
