2023-07-23 13:54:04 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 13:54:11 INFO     Using device: cuda
2023-07-23 13:54:11 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 13:54:11 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:54:11 INFO     [dprr: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:54:11 INFO     [dprr: gcn on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 13:59:42 INFO     [dprr: gcn on lastfm with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 2.0656099796295164
2023-07-23 13:59:42 INFO     [dprr: gcn on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 13:59:42 INFO     [dprr: gcn on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 14:05:09 INFO     [dprr: gcn on lastfm with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0} with validation loss 1.8002049922943115
2023-07-23 14:05:09 INFO     [dprr: gcn on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 14:05:09 INFO     [dprr: gcn on lastfm] Grid search done.
2023-07-23 14:05:09 INFO     Grid search done!
2023-07-23 14:05:09 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 14:05:09 INFO     [dprr: gcn on lastfm] Start running experiments on various epsilons.
2023-07-23 14:05:09 INFO     [dprr: gcn on lastfm with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 14:06:10 INFO     [dprr: gcn on lastfm with eps=5] Test accuracy is 0.35961874781392095 (0.017262095221687417).
2023-07-23 14:06:10 INFO     [dprr: gcn on lastfm with eps=5] Saving training results to output/bl_results.json
2023-07-23 14:06:10 INFO     [dprr: gcn on lastfm with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0}.
2023-07-23 14:07:09 INFO     [dprr: gcn on lastfm with eps=6] Test accuracy is 0.4564008394543546 (0.025397089261301957).
2023-07-23 14:07:09 INFO     [dprr: gcn on lastfm with eps=6] Saving training results to output/bl_results.json
2023-07-23 14:07:09 INFO     [dprr: gcn on lastfm] Experiments done.
2023-07-23 14:07:09 INFO     All baseline experiments done!
