2023-07-23 12:51:25 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 12:51:31 INFO     Using device: cuda
2023-07-23 12:51:31 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 12:51:31 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 12:51:31 INFO     [symrr: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 12:51:31 INFO     [symrr: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 13:29:48 INFO     [symrr: gcn on lastfm with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 2.3600449085235597
2023-07-23 13:29:48 INFO     [symrr: gcn on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 13:29:48 INFO     [symrr: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 13:49:10 INFO     [symrr: gcn on lastfm with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 2.3599764823913576
2023-07-23 13:49:10 INFO     [symrr: gcn on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 13:49:10 INFO     [symrr: gcn on lastfm] Grid search done.
2023-07-23 13:49:10 INFO     Grid search done!
2023-07-23 13:49:10 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:49:10 INFO     [symrr: gcn on lastfm] Start running experiments on various epsilons.
2023-07-23 13:49:10 INFO     [symrr: gcn on lastfm with eps=1] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 13:56:22 INFO     [symrr: gcn on lastfm with eps=1] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2023-07-23 13:56:22 INFO     [symrr: gcn on lastfm with eps=1] Saving training results to output/bl_results.json
2023-07-23 13:56:22 INFO     [symrr: gcn on lastfm with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 13:59:58 INFO     [symrr: gcn on lastfm with eps=2] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2023-07-23 13:59:58 INFO     [symrr: gcn on lastfm with eps=2] Saving training results to output/bl_results.json
2023-07-23 13:59:58 INFO     [symrr: gcn on lastfm] Experiments done.
2023-07-23 13:59:58 INFO     All baseline experiments done!
