2022-10-21 00:32:28 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['ldpgcn', 'rr'], grid_search=True, eps=None)
2022-10-21 00:34:12 INFO     Grid search. Load hyperparameter space from config.json
2022-10-21 00:34:12 INFO     [ldpgcn: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2022-10-21 00:34:12 INFO     [ldpgcn: graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2022-10-21 00:38:47 INFO     [ldpgcn: graphsage on lastfm with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.0923544645309449
2022-10-21 00:38:47 INFO     [ldpgcn: graphsage on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-21 00:38:47 INFO     [ldpgcn: graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2022-10-21 00:43:34 INFO     [ldpgcn: graphsage on lastfm with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1703569173812867
2022-10-21 00:43:34 INFO     [ldpgcn: graphsage on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-21 00:43:34 INFO     [ldpgcn: graphsage on lastfm with eps=3] Start grid search for hyperparameter tuning.
2022-10-21 00:48:16 INFO     [ldpgcn: graphsage on lastfm with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1187923431396485
2022-10-21 00:48:16 INFO     [ldpgcn: graphsage on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-21 00:48:16 INFO     [ldpgcn: graphsage on lastfm with eps=4] Start grid search for hyperparameter tuning.
2022-10-21 00:53:04 INFO     [ldpgcn: graphsage on lastfm with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.096107792854309
2022-10-21 00:53:04 INFO     [ldpgcn: graphsage on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-21 00:53:04 INFO     [ldpgcn: graphsage on lastfm with eps=5] Start grid search for hyperparameter tuning.
2022-10-21 00:57:48 INFO     [ldpgcn: graphsage on lastfm with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9287751913070679
