2023-07-23 03:04:23 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 03:04:43 INFO     Using device: cuda
2023-07-23 03:04:43 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 03:04:43 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 03:04:43 INFO     [ldpgen: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 03:04:43 INFO     [ldpgen: graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 03:10:16 INFO     [ldpgen: graphsage on lastfm with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.080060029029846
2023-07-23 03:10:16 INFO     [ldpgen: graphsage on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 03:10:16 INFO     [ldpgen: graphsage on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 03:15:57 INFO     [ldpgen: graphsage on lastfm with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.0954637289047242
2023-07-23 03:15:57 INFO     [ldpgen: graphsage on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 03:15:57 INFO     [ldpgen: graphsage on lastfm] Grid search done.
2023-07-23 03:15:57 INFO     Grid search done!
2023-07-23 03:15:57 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 03:15:57 INFO     [ldpgen: graphsage on lastfm] Start running experiments on various epsilons.
2023-07-23 03:15:57 INFO     [ldpgen: graphsage on lastfm with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 03:17:01 INFO     [ldpgen: graphsage on lastfm with eps=7] Test accuracy is 0.6799755159146555 (0.013369015707263341).
2023-07-23 03:17:01 INFO     [ldpgen: graphsage on lastfm with eps=7] Saving training results to output/bl_results.json
2023-07-23 03:17:01 INFO     [ldpgen: graphsage on lastfm with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 03:18:05 INFO     [ldpgen: graphsage on lastfm with eps=8] Test accuracy is 0.6627492130115425 (0.02985163550488864).
2023-07-23 03:18:05 INFO     [ldpgen: graphsage on lastfm with eps=8] Saving training results to output/bl_results.json
2023-07-23 03:18:05 INFO     [ldpgen: graphsage on lastfm] Experiments done.
2023-07-23 03:18:05 INFO     All baseline experiments done!
