2023-01-25 16:09:53 INFO     Start experiments with Namespace(variant='hybrid', dataset='citeseer', model='gat', grid_search=True, eps=['1', '2', '3', '4', '5', '6', '7', '8'])
2023-01-25 16:10:02 INFO     Using device: cuda
2023-01-25 16:10:02 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81100MB, multi_processor_count=108)
2023-01-25 16:10:02 INFO     Grid search. Load hyperparameter space from config.json
2023-01-25 16:10:02 INFO     [Blink-hybrid: gat on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-01-25 16:53:22 INFO     [Blink-hybrid: gat on citeseer with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8531974673271179
2023-01-25 16:53:22 INFO     [Blink-hybrid: gat on citeseer with eps=1] Saving best hp to output/best_hp.json
2023-01-25 16:53:22 INFO     [Blink-hybrid: gat on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-01-25 17:36:11 INFO     [Blink-hybrid: gat on citeseer with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8544679880142212
2023-01-25 17:36:11 INFO     [Blink-hybrid: gat on citeseer with eps=2] Saving best hp to output/best_hp.json
2023-01-25 17:36:11 INFO     [Blink-hybrid: gat on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-01-25 18:18:49 INFO     [Blink-hybrid: gat on citeseer with eps=3] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8574009537696838
2023-01-25 18:18:49 INFO     [Blink-hybrid: gat on citeseer with eps=3] Saving best hp to output/best_hp.json
2023-01-25 18:18:49 INFO     [Blink-hybrid: gat on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-01-25 19:01:17 INFO     [Blink-hybrid: gat on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8571082472801208
2023-01-25 19:01:17 INFO     [Blink-hybrid: gat on citeseer with eps=4] Saving best hp to output/best_hp.json
2023-01-25 19:01:17 INFO     [Blink-hybrid: gat on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-01-25 19:43:41 INFO     [Blink-hybrid: gat on citeseer with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.8527207970619202
2023-01-25 19:43:41 INFO     [Blink-hybrid: gat on citeseer with eps=5] Saving best hp to output/best_hp.json
2023-01-25 19:43:41 INFO     [Blink-hybrid: gat on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-01-25 20:25:57 INFO     [Blink-hybrid: gat on citeseer with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7759042382240295
