2023-01-23 22:54:23 INFO     Start experiments with Namespace(variant='hybrid', dataset='citeseer', model='gcn', grid_search=True, eps=['5', '6', '7', '8'])
2023-01-23 22:54:24 INFO     Using device: cuda
2023-01-23 22:54:24 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-23 22:54:24 INFO     Grid search. Load hyperparameter space from config.json
2023-01-23 22:54:06 INFO     [Blink-hybrid: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-01-23 23:18:43 INFO     [Blink-hybrid: gcn on citeseer with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8557225108146668
2023-01-23 23:18:43 INFO     [Blink-hybrid: gcn on citeseer with eps=1] Saving best hp to output/best_hp.json
2023-01-23 23:18:43 INFO     [Blink-hybrid: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-01-23 23:43:07 INFO     [Blink-hybrid: gcn on citeseer with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8551347374916076
2023-01-23 23:43:07 INFO     [Blink-hybrid: gcn on citeseer with eps=2] Saving best hp to output/best_hp.json
2023-01-23 23:43:07 INFO     [Blink-hybrid: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-01-24 00:08:11 INFO     [Blink-hybrid: gcn on citeseer with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.8600048065185547
2023-01-24 00:08:11 INFO     [Blink-hybrid: gcn on citeseer with eps=3] Saving best hp to output/best_hp.json
2023-01-24 00:08:11 INFO     [Blink-hybrid: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-01-24 00:33:05 INFO     [Blink-hybrid: gcn on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.9} with validation loss 0.860293710231781
2023-01-24 00:33:05 INFO     [Blink-hybrid: gcn on citeseer with eps=4] Saving best hp to output/best_hp.json
2023-01-29 01:35:47 INFO     [Blink-hybrid: gcn on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-01-29 01:59:37 INFO     [Blink-hybrid: gcn on citeseer with eps=5] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7751452684402466
2023-01-29 01:59:37 INFO     [Blink-hybrid: gcn on citeseer with eps=5] Saving best hp to output/best_hp.json
2023-01-23 23:18:03 INFO     [Blink-hybrid: gcn on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-01-23 23:41:48 INFO     [Blink-hybrid: gcn on citeseer with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7206241726875305
2023-01-23 23:41:48 INFO     [Blink-hybrid: gcn on citeseer with eps=6] Saving best hp to output/best_hp.json
2023-01-23 23:41:48 INFO     [Blink-hybrid: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-01-24 00:05:58 INFO     [Blink-hybrid: gcn on citeseer with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.713178288936615
2023-01-24 00:05:58 INFO     [Blink-hybrid: gcn on citeseer with eps=7] Saving best hp to output/best_hp.json
2023-01-24 00:05:58 INFO     [Blink-hybrid: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
