2023-01-24 00:44:19 INFO     Start experiments with Namespace(variant='hybrid', dataset='lastfm', model='graphsage', grid_search=True, eps=['5', '6'])
2023-01-24 00:44:52 INFO     Using device: cuda
2023-01-24 00:44:52 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-24 00:44:52 INFO     Grid search. Load hyperparameter space from config.json
2023-01-24 11:32:06 INFO     [Blink-hybrid: graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-01-24 12:11:46 INFO     [Blink-hybrid: graphsage on lastfm with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.7} with validation loss 0.9947087407112122
2023-01-24 12:11:46 INFO     [Blink-hybrid: graphsage on lastfm with eps=1] Saving best hp to output/best_hp.json
2023-01-24 12:11:46 INFO     [Blink-hybrid: graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-01-24 12:49:04 INFO     [Blink-hybrid: graphsage on lastfm with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.1} with validation loss 0.9912336111068726
2023-01-24 12:49:04 INFO     [Blink-hybrid: graphsage on lastfm with eps=2] Saving best hp to output/best_hp.json
2023-01-24 11:31:41 INFO     [Blink-hybrid: graphsage on lastfm with eps=3] Start grid search for hyperparameter tuning.
2023-01-24 12:09:04 INFO     [Blink-hybrid: graphsage on lastfm with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.966400945186615
2023-01-24 12:09:04 INFO     [Blink-hybrid: graphsage on lastfm with eps=3] Saving best hp to output/best_hp.json
2023-01-24 12:09:04 INFO     [Blink-hybrid: graphsage on lastfm with eps=4] Start grid search for hyperparameter tuning.
2023-01-24 12:45:24 INFO     [Blink-hybrid: graphsage on lastfm with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.1} with validation loss 0.8766920328140259
2023-01-24 12:45:24 INFO     [Blink-hybrid: graphsage on lastfm with eps=4] Saving best hp to output/best_hp.json
2023-01-24 00:44:52 INFO     [Blink-hybrid: graphsage on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-01-24 01:19:51 INFO     [Blink-hybrid: graphsage on lastfm with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.1} with validation loss 0.7831243276596069
2023-01-24 01:19:51 INFO     [Blink-hybrid: graphsage on lastfm with eps=5] Saving best hp to output/best_hp.json
2023-01-24 01:19:51 INFO     [Blink-hybrid: graphsage on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-01-24 01:54:35 INFO     [Blink-hybrid: graphsage on lastfm with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.729041314125061
2023-01-24 01:54:35 INFO     [Blink-hybrid: graphsage on lastfm with eps=6] Saving best hp to output/best_hp.json
2023-01-23 16:49:15 INFO     [Blink-hybrid: graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-01-23 17:24:17 INFO     [Blink-hybrid: graphsage on lastfm with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7277905106544494
