2023-01-26 17:52:10 INFO     Start experiments with Namespace(variant='soft', dataset='citeseer', model='gat', grid_search=True, eps=['1', '2', '3', '4', '5', '6', '7', '8'])
2023-01-26 17:52:16 INFO     Using device: cuda
2023-01-26 17:52:16 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81100MB, multi_processor_count=108)
2023-01-26 17:52:16 INFO     Grid search. Load hyperparameter space from config.json
2023-01-26 17:52:16 INFO     [Blink-soft: gat on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-01-26 18:33:20 INFO     [Blink-soft: gat on citeseer with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0, 'delta': 0.1} with validation loss 1.4853801012039185
2023-01-26 18:33:20 INFO     [Blink-soft: gat on citeseer with eps=1] Saving best hp to output/best_hp.json
2023-01-26 18:33:20 INFO     [Blink-soft: gat on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-01-26 19:14:11 INFO     [Blink-soft: gat on citeseer with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0, 'delta': 0.1} with validation loss 1.4845335721969604
2023-01-26 19:14:11 INFO     [Blink-soft: gat on citeseer with eps=2] Saving best hp to output/best_hp.json
2023-01-26 19:14:11 INFO     [Blink-soft: gat on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-01-26 19:54:48 INFO     [Blink-soft: gat on citeseer with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0, 'delta': 0.1} with validation loss 1.446674656867981
2023-01-26 19:54:48 INFO     [Blink-soft: gat on citeseer with eps=3] Saving best hp to output/best_hp.json
2023-01-26 19:54:48 INFO     [Blink-soft: gat on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-01-26 20:37:19 INFO     [Blink-soft: gat on citeseer with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 1.0533993005752564
2023-01-26 20:37:19 INFO     [Blink-soft: gat on citeseer with eps=4] Saving best hp to output/best_hp.json
