Branch 'soft_version' set up to track remote branch 'soft_version' from 'origin'.
2023-01-14 10:14:19 INFO     Start experiments with Namespace(variant='soft', dataset='citeseer', model='gcn', grid_search=True, eps=['1', '2', '3', '4', '5', '6', '7', '8'])
2023-01-14 10:14:25 INFO     Using device: cuda
2023-01-14 10:14:25 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-14 10:14:25 INFO     Grid search. Load hyperparameter space from config.json
2023-01-14 10:14:25 INFO     [Blink-soft: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-01-14 10:34:57 INFO     [Blink-soft: gcn on citeseer with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.9} with validation loss 1.0703282117843629
2023-01-14 10:34:57 INFO     [Blink-soft: gcn on citeseer with eps=1] Saving best hp to output/best_hp.json
2023-01-14 10:34:57 INFO     [Blink-soft: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-01-14 10:55:21 INFO     [Blink-soft: gcn on citeseer with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.9} with validation loss 1.0312680006027222
2023-01-14 10:55:21 INFO     [Blink-soft: gcn on citeseer with eps=2] Saving best hp to output/best_hp.json
2023-01-14 10:55:21 INFO     [Blink-soft: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-01-14 11:16:58 INFO     [Blink-soft: gcn on citeseer with eps=3] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.9679032921791076
2023-01-14 11:16:58 INFO     [Blink-soft: gcn on citeseer with eps=3] Saving best hp to output/best_hp.json
2023-01-14 11:16:58 INFO     [Blink-soft: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-01-14 11:39:31 INFO     [Blink-soft: gcn on citeseer with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.8699568510055542
2023-01-14 11:39:31 INFO     [Blink-soft: gcn on citeseer with eps=4] Saving best hp to output/best_hp.json
2023-01-14 10:16:10 INFO     [Blink-soft: gcn on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-01-14 10:38:39 INFO     [Blink-soft: gcn on citeseer with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7617458224296569
2023-01-14 10:38:39 INFO     [Blink-soft: gcn on citeseer with eps=5] Saving best hp to output/best_hp.json
2023-01-14 10:38:39 INFO     [Blink-soft: gcn on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-01-14 11:00:36 INFO     [Blink-soft: gcn on citeseer with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7188259959220886
2023-01-14 11:00:36 INFO     [Blink-soft: gcn on citeseer with eps=6] Saving best hp to output/best_hp.json
2023-01-14 11:00:36 INFO     [Blink-soft: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-01-14 11:21:53 INFO     [Blink-soft: gcn on citeseer with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7147742509841919
2023-01-14 11:21:53 INFO     [Blink-soft: gcn on citeseer with eps=7] Saving best hp to output/best_hp.json
2023-01-14 11:21:53 INFO     [Blink-soft: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-01-14 11:44:47 INFO     [Blink-soft: gcn on citeseer with eps=8] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7092860698699951
2023-01-14 11:44:47 INFO     [Blink-soft: gcn on citeseer with eps=8] Saving best hp to output/best_hp.json
2023-01-14 11:39:31 INFO     Grid search done!
2023-01-14 11:39:31 INFO     Run experiments using found hyperparameters in best_hp.json.
2023-01-14 11:39:31 INFO     [Blink-soft: gcn on citeseer with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.9}.
2023-01-14 11:40:29 INFO     [Blink-soft: gcn on citeseer with eps=1] Test accuracy is 0.6540464743589743 (0.014889892575439215).
2023-01-14 11:40:29 INFO     [Blink-soft: gcn on citeseer with eps=1] Saving training results to output/results.json
2023-01-14 11:40:29 INFO     [Blink-soft: gcn on citeseer with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.9}.
2023-01-14 11:41:26 INFO     [Blink-soft: gcn on citeseer with eps=2] Test accuracy is 0.6658253205128203 (0.020163391548753806).
2023-01-14 11:41:26 INFO     [Blink-soft: gcn on citeseer with eps=2] Saving training results to output/results.json
2023-01-14 11:41:26 INFO     [Blink-soft: gcn on citeseer with eps=3] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:42:20 INFO     [Blink-soft: gcn on citeseer with eps=3] Test accuracy is 0.6774439102564102 (0.013208339263713603).
2023-01-14 11:42:20 INFO     [Blink-soft: gcn on citeseer with eps=3] Saving training results to output/results.json
2023-01-14 11:42:20 INFO     [Blink-soft: gcn on citeseer with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:43:14 INFO     [Blink-soft: gcn on citeseer with eps=4] Test accuracy is 0.7251201923076923 (0.01166608605293047).
2023-01-14 11:43:14 INFO     [Blink-soft: gcn on citeseer with eps=4] Saving training results to output/results.json
2023-01-14 11:44:47 INFO     [Blink-soft: gcn on citeseer with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:45:41 INFO     [Blink-soft: gcn on citeseer with eps=5] Test accuracy is 0.7693910256410257 (0.010435449043003647).
2023-01-14 11:45:41 INFO     [Blink-soft: gcn on citeseer with eps=5] Saving training results to output/results.json
2023-01-14 11:45:41 INFO     [Blink-soft: gcn on citeseer with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:46:36 INFO     [Blink-soft: gcn on citeseer with eps=6] Test accuracy is 0.7842548076923077 (0.008162169852658609).
2023-01-14 11:46:36 INFO     [Blink-soft: gcn on citeseer with eps=6] Saving training results to output/results.json
2023-01-14 11:46:36 INFO     [Blink-soft: gcn on citeseer with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:47:30 INFO     [Blink-soft: gcn on citeseer with eps=7] Test accuracy is 0.7900240384615385 (0.004401402265288589).
2023-01-14 11:47:30 INFO     [Blink-soft: gcn on citeseer with eps=7] Saving training results to output/results.json
2023-01-14 11:47:30 INFO     [Blink-soft: gcn on citeseer with eps=8] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 11:48:24 INFO     [Blink-soft: gcn on citeseer with eps=8] Test accuracy is 0.7854166666666667 (0.005318726530537213).
2023-01-14 11:48:24 INFO     [Blink-soft: gcn on citeseer with eps=8] Saving training results to output/results.json
