2023-01-14 11:32:39 INFO     Start experiments with Namespace(variant='soft', dataset='citeseer', model='graphsage', grid_search=True, eps=['1', '2', '3', '4'])
2023-01-14 11:32:50 INFO     Using device: cuda
2023-01-14 11:32:50 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-14 11:32:50 INFO     Grid search. Load hyperparameter space from config.json
2023-01-14 11:32:50 INFO     [Blink-soft: graphsage on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-01-14 12:08:30 INFO     [Blink-soft: graphsage on citeseer with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.5} with validation loss 0.831603729724884
2023-01-14 12:08:30 INFO     [Blink-soft: graphsage on citeseer with eps=1] Saving best hp to output/best_hp.json
2023-01-14 12:08:30 INFO     [Blink-soft: graphsage on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-01-14 12:43:50 INFO     [Blink-soft: graphsage on citeseer with eps=2] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.8317840218544006
2023-01-14 12:43:50 INFO     [Blink-soft: graphsage on citeseer with eps=2] Saving best hp to output/best_hp.json
2023-01-14 12:43:50 INFO     [Blink-soft: graphsage on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-01-14 13:18:59 INFO     [Blink-soft: graphsage on citeseer with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.8104847192764282
2023-01-14 13:18:59 INFO     [Blink-soft: graphsage on citeseer with eps=3] Saving best hp to output/best_hp.json
2023-02-02 16:01:22 INFO     [Blink-soft: graphsage on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-02-02 17:13:42 INFO     [Blink-soft: graphsage on citeseer with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1} with validation loss 0.8181992590427398
2023-02-02 17:13:42 INFO     [Blink-soft: graphsage on citeseer with eps=4] Saving best hp to output/best_hp.json
2023-02-01 22:29:22 INFO     [Blink-soft: graphsage on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-02-01 23:39:05 INFO     [Blink-soft: graphsage on citeseer with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.001, 'delta': 0.1} with validation loss 0.7614972949028015
2023-02-01 23:39:05 INFO     [Blink-soft: graphsage on citeseer with eps=5] Saving best hp to output/best_hp.json
2023-01-14 12:11:07 INFO     [Blink-soft: graphsage on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-01-14 12:46:13 INFO     [Blink-soft: graphsage on citeseer with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1} with validation loss 0.723244047164917
2023-01-14 12:46:13 INFO     [Blink-soft: graphsage on citeseer with eps=6] Saving best hp to output/best_hp.json
2023-01-14 12:46:13 INFO     [Blink-soft: graphsage on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-01-14 13:21:58 INFO     [Blink-soft: graphsage on citeseer with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1} with validation loss 0.7179964184761047
2023-01-14 13:21:58 INFO     [Blink-soft: graphsage on citeseer with eps=7] Saving best hp to output/best_hp.json
