2023-01-14 10:14:00 INFO     Start experiments with Namespace(variant='soft', dataset='cora', model='graphsage', grid_search=True, eps=['1', '2', '3', '4', '5', '6', '7', '8'])
2023-01-14 10:14:07 INFO     Using device: cuda
2023-01-14 10:14:07 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-14 10:14:07 INFO     Grid search. Load hyperparameter space from config.json
2023-01-14 10:14:07 INFO     [Blink-soft: graphsage on cora with eps=1] Start grid search for hyperparameter tuning.
2023-01-14 10:37:14 INFO     [Blink-soft: graphsage on cora with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001, 'delta': 0.7} with validation loss 0.8022564291954041
2023-01-14 10:37:14 INFO     [Blink-soft: graphsage on cora with eps=1] Saving best hp to output/best_hp.json
2023-01-14 10:37:14 INFO     [Blink-soft: graphsage on cora with eps=2] Start grid search for hyperparameter tuning.
2023-01-14 11:00:50 INFO     [Blink-soft: graphsage on cora with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.7909154295921326
2023-01-14 11:00:50 INFO     [Blink-soft: graphsage on cora with eps=2] Saving best hp to output/best_hp.json
2023-01-14 11:00:50 INFO     [Blink-soft: graphsage on cora with eps=3] Start grid search for hyperparameter tuning.
2023-01-14 11:23:50 INFO     [Blink-soft: graphsage on cora with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.6836044192314148
2023-01-14 11:23:50 INFO     [Blink-soft: graphsage on cora with eps=3] Saving best hp to output/best_hp.json
2023-01-14 11:23:50 INFO     [Blink-soft: graphsage on cora with eps=4] Start grid search for hyperparameter tuning.
2023-01-14 11:47:20 INFO     [Blink-soft: graphsage on cora with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.5480384469032288
2023-01-14 11:47:20 INFO     [Blink-soft: graphsage on cora with eps=4] Saving best hp to output/best_hp.json
2023-01-14 10:14:18 INFO     [Blink-soft: graphsage on cora with eps=5] Start grid search for hyperparameter tuning.
2023-01-14 10:34:56 INFO     [Blink-soft: graphsage on cora with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1} with validation loss 0.4601987063884735
2023-01-14 10:34:56 INFO     [Blink-soft: graphsage on cora with eps=5] Saving best hp to output/best_hp.json
2023-01-14 10:34:56 INFO     [Blink-soft: graphsage on cora with eps=6] Start grid search for hyperparameter tuning.
2023-01-14 10:54:32 INFO     [Blink-soft: graphsage on cora with eps=6] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 1e-05, 'delta': 0.1} with validation loss 0.43077053427696227
