2023-01-14 11:48:25 INFO     Start experiments with Namespace(variant='soft', dataset='lastfm', model='gcn', grid_search=True, eps=['1', '2', '3', '4', '5', '6', '7', '8'])
2023-01-14 11:49:16 INFO     Using device: cuda
2023-01-14 11:49:16 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-14 11:49:16 INFO     Grid search. Load hyperparameter space from config.json
2023-01-14 11:49:16 INFO     [Blink-soft: gcn on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-01-14 12:52:15 INFO     [Blink-soft: gcn on lastfm with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0, 'delta': 0.1} with validation loss 1.9082784175872802
2023-01-14 12:52:15 INFO     [Blink-soft: gcn on lastfm with eps=1] Saving best hp to output/best_hp.json
2023-01-14 12:52:15 INFO     [Blink-soft: gcn on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-01-14 13:53:29 INFO     [Blink-soft: gcn on lastfm with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0, 'delta': 0.1} with validation loss 1.8269033908843995
2023-01-14 13:53:29 INFO     [Blink-soft: gcn on lastfm with eps=2] Saving best hp to output/best_hp.json
2023-01-14 11:54:03 INFO     [Blink-soft: gcn on lastfm with eps=3] Start grid search for hyperparameter tuning.
2023-01-14 12:51:13 INFO     [Blink-soft: gcn on lastfm with eps=3] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0, 'delta': 0.1} with validation loss 1.2342190504074098
2023-01-14 12:51:13 INFO     [Blink-soft: gcn on lastfm with eps=3] Saving best hp to output/best_hp.json
2023-01-14 12:51:13 INFO     [Blink-soft: gcn on lastfm with eps=4] Start grid search for hyperparameter tuning.
2023-01-14 13:47:36 INFO     [Blink-soft: gcn on lastfm with eps=4] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0, 'delta': 0.1} with validation loss 0.8571120858192444
2023-01-14 13:47:36 INFO     [Blink-soft: gcn on lastfm with eps=4] Saving best hp to output/best_hp.json
2023-01-14 12:01:22 INFO     [Blink-soft: gcn on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-01-14 13:00:01 INFO     [Blink-soft: gcn on lastfm with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05, 'delta': 0.1} with validation loss 0.7331497311592102
2023-01-14 13:00:01 INFO     [Blink-soft: gcn on lastfm with eps=5] Saving best hp to output/best_hp.json
